Species	Lifestyle	Genus	Order	Dataset	value
Cutaneotrichosporon_curvatus_JCM_1532	Clinical	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.227879403
Cutaneotrichosporon_cutaneum_JCM_1462	Clinical	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.312681244
Cutaneotrichosporon_cyanovorans_JCM_31833	Environmental	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.041579904
Cutaneotrichosporon_daszewskae_JCM_11166	Clinical	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.095673363
Cutaneotrichosporon_dermatis_ATCC_204094	Clinical	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.191382577
Cutaneotrichosporon_dermatis_JCM_11170	Clinical	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.202181964
Cutaneotrichosporon_oleaginosum_ATCC_20509_reseq	Environmental	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.061007848
Cutaneotrichosporon_oleaginosus_ATCC_20508	Environmental	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.043211469
Cutaneotrichosporon_oleaginosus_IBC0246	Environmental	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.076430218
Trichosporon_asahii_ATCC_201110	Clinical	Trichosporon	Trichosporonales	S_lipids_norm	1.145737442
Trichosporon_asahii_CBS_8904	Clinical	Trichosporon	Trichosporonales	S_lipids_norm	1.121874489
Trichosporon_asahii_JCM_2466_CBS_2479_reseq	Clinical	Trichosporon	Trichosporonales	S_lipids_norm	1.146849023
Trichosporon_asahii_N5_275_008G1	Clinical	Trichosporon	Trichosporonales	S_lipids_norm	1.163714645
Trichosporon_faecale_JCM_2941	Clinical	Trichosporon	Trichosporonales	S_lipids_norm	1.166809959
Trichosporon_inkin_JCM_9195_ATCC_18020_reseq	Clinical	Trichosporon	Trichosporonales	S_lipids_norm	1.273139487
