sample	Minutes	Temperature	Lifestyle	Identification	OD_avg	Genus
TS-001	1230	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00437499999999999	Apiotrichum
TS-001	1230	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1260	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00412499999999999	Apiotrichum
TS-001	1260	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1290	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00437499999999999	Apiotrichum
TS-001	1290	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1320	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00425	Apiotrichum
TS-001	1320	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1350	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00437499999999999	Apiotrichum
TS-001	1350	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1380	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0045	Apiotrichum
TS-001	1380	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1410	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00437499999999999	Apiotrichum
TS-001	1410	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1440	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00425	Apiotrichum
TS-001	1440	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1470	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00475	Apiotrichum
TS-001	1470	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1500	33 °C	Environmental	Apiotrichum akiyoshidainum	0.004	Apiotrichum
TS-001	1500	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1530	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00387499999999999	Apiotrichum
TS-001	1530	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1560	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00425	Apiotrichum
TS-001	1560	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1590	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0045	Apiotrichum
TS-001	1590	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1620	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00412499999999999	Apiotrichum
TS-001	1620	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1650	33 °C	Environmental	Apiotrichum akiyoshidainum	0.004	Apiotrichum
TS-001	1650	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1680	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00412499999999999	Apiotrichum
TS-001	1680	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1710	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00387499999999999	Apiotrichum
TS-001	1710	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
