sample	Temp	TimePoint	Day	Medium	Identification	OD	OD_min	OD_max	Genus	Lifestyle
TS-008	18 °C	T0	0	PD	Apiotrichum porosum	0.007	0.0055	0.0105	Apiotrichum	Environmental
TS-008	18 °C	T1	1	PD	Apiotrichum porosum	0.003125	-0.002875	0.017125	Apiotrichum	Environmental
TS-008	18 °C	T2	2	PD	Apiotrichum porosum	0.1385625	0.0740625	0.2390625	Apiotrichum	Environmental
TS-008	18 °C	T3	3	PD	Apiotrichum porosum	0.376875	0.181875	0.719875	Apiotrichum	Environmental
TS-008	18 °C	T4	4	PD	Apiotrichum porosum	0.491625	0.258375	0.902375	Apiotrichum	Environmental
TS-008	18 °C	T5	5	PD	Apiotrichum porosum	0.5866875	0.3404375	1.0234375	Apiotrichum	Environmental
TS-008	18 °C	T6	6	PD	Apiotrichum porosum	0.659375	0.393125	1.140125	Apiotrichum	Environmental
TS-008	18 °C	T7	7	PD	Apiotrichum porosum	0.7175	0.444	1.197	Apiotrichum	Environmental
TS-008	23 °C	T0	0	PD	Apiotrichum porosum	0.0090625	0.0050625	0.0140625	Apiotrichum	Environmental
TS-008	23 °C	T1	1	PD	Apiotrichum porosum	0.042375	0.032625	0.048625	Apiotrichum	Environmental
TS-008	23 °C	T2	2	PD	Apiotrichum porosum	0.5364375	0.4534375	0.5994375	Apiotrichum	Environmental
TS-008	23 °C	T3	3	PD	Apiotrichum porosum	0.8324375	0.7561875	0.8751875	Apiotrichum	Environmental
TS-008	23 °C	T4	4	PD	Apiotrichum porosum	0.9524375	0.9014375	0.9874375	Apiotrichum	Environmental
TS-008	23 °C	T5	5	PD	Apiotrichum porosum	1.0453125	1.0098125	1.0698125	Apiotrichum	Environmental
TS-008	23 °C	T6	6	PD	Apiotrichum porosum	1.0948125	1.0740625	1.1150625	Apiotrichum	Environmental
TS-008	23 °C	T7	7	PD	Apiotrichum porosum	1.1308125	1.1235625	1.1355625	Apiotrichum	Environmental
TS-008	28 °C	T0	0	PD	Apiotrichum porosum	0.0021875	-0.0008125	0.0061875	Apiotrichum	Environmental
TS-008	28 °C	T1	1	PD	Apiotrichum porosum	0.016125	0.000875	0.032875	Apiotrichum	Environmental
TS-008	28 °C	T2	2	PD	Apiotrichum porosum	0	-0.016625	-0.003625	Apiotrichum	Environmental
TS-008	28 °C	T3	3	PD	Apiotrichum porosum	0	-0.0051875	0.0018125	Apiotrichum	Environmental
TS-008	28 °C	T4	4	PD	Apiotrichum porosum	0	-0.0119375	6.25E-05	Apiotrichum	Environmental
TS-008	28 °C	T5	5	PD	Apiotrichum porosum	0	-0.013625	-0.001625	Apiotrichum	Environmental
TS-008	28 °C	T6	6	PD	Apiotrichum porosum	0	-0.0105	0.0055	Apiotrichum	Environmental
TS-008	28 °C	T7	7	PD	Apiotrichum porosum	0	-0.0266875	-0.0016875	Apiotrichum	Environmental
TS-008	33 °C	T0	0	PD	Apiotrichum porosum	0	-0.0055625	0.0024375	Apiotrichum	Environmental
TS-008	33 °C	T1	1	PD	Apiotrichum porosum	0	-0.0288125	0.0011875	Apiotrichum	Environmental
TS-008	33 °C	T2	2	PD	Apiotrichum porosum	0.0028125	0.0015625	0.0045625	Apiotrichum	Environmental
TS-008	33 °C	T3	3	PD	Apiotrichum porosum	0	-0.05525	0.01075	Apiotrichum	Environmental
TS-008	33 °C	T4	4	PD	Apiotrichum porosum	0	-0.01975	0.01225	Apiotrichum	Environmental
TS-008	33 °C	T5	5	PD	Apiotrichum porosum	0	-0.01375	-0.00175	Apiotrichum	Environmental
TS-008	33 °C	T6	6	PD	Apiotrichum porosum	0	-0.0154375	0.0095625	Apiotrichum	Environmental
TS-008	33 °C	T7	7	PD	Apiotrichum porosum	0	-0.0245625	-0.0035625	Apiotrichum	Environmental
TS-008	37 °C	T0	0	PD	Apiotrichum porosum	0	-0.0063125	-0.0003125	Apiotrichum	Environmental
TS-008	37 °C	T1	1	PD	Apiotrichum porosum	0.0170625	0.0065625	0.0235625	Apiotrichum	Environmental
TS-008	37 °C	T2	2	PD	Apiotrichum porosum	0.0156875	0.0019375	0.0319375	Apiotrichum	Environmental
TS-008	37 °C	T3	3	PD	Apiotrichum porosum	0.0218125	0.0045625	0.0325625	Apiotrichum	Environmental
TS-008	37 °C	T4	4	PD	Apiotrichum porosum	0.0129375	-6.25E-05	0.0229375	Apiotrichum	Environmental
TS-008	37 °C	T5	5	PD	Apiotrichum porosum	0.0183125	-0.0006875	0.0393125	Apiotrichum	Environmental
TS-008	37 °C	T6	6	PD	Apiotrichum porosum	0.0190625	-0.0096875	0.0423125	Apiotrichum	Environmental
TS-008	37 °C	T7	7	PD	Apiotrichum porosum	0.019875	-0.002125	0.036875	Apiotrichum	Environmental
TS-009	18 °C	T0	0	PD	Apiotrichum porosum	0.00375	0.0035	0.0045	Apiotrichum	Environmental
TS-009	18 °C	T1	1	PD	Apiotrichum porosum	0.002625	-0.002875	0.008125	Apiotrichum	Environmental
